====== Start Time ======
2021-08-20-16:08:57-CST

phc2sys[330775.422]: clock set to insert leap second at midnight (UTC)
phc2sys[330871.434]: CLOCK_REALTIME phc offset         7 s2 freq   -2479 delay   1254
phc2sys[330872.434]: CLOCK_REALTIME phc offset       -11 s2 freq   -2495 delay   1244
phc2sys[330873.435]: CLOCK_REALTIME phc offset        -2 s2 freq   -2489 delay   1272
phc2sys[330874.435]: CLOCK_REALTIME phc offset        20 s2 freq   -2468 delay   1251
phc2sys[330875.435]: CLOCK_REALTIME phc offset        -2 s2 freq   -2484 delay   1247
phc2sys[330876.435]: CLOCK_REALTIME phc offset        -2 s2 freq   -2484 delay   1251
phc2sys[330877.435]: CLOCK_REALTIME phc offset        -7 s2 freq   -2490 delay   1265
phc2sys[330878.435]: CLOCK_REALTIME phc offset        -2 s2 freq   -2487 delay   1246
phc2sys[330879.435]: CLOCK_REALTIME phc offset        -2 s2 freq   -2488 delay   1246
phc2sys[330880.435]: CLOCK_REALTIME phc offset        -5 s2 freq   -2491 delay   1274
phc2sys[330881.436]: CLOCK_REALTIME phc offset        19 s2 freq   -2469 delay   1251
phc2sys[330882.436]: CLOCK_REALTIME phc offset        -5 s2 freq   -2487 delay   1240
phc2sys[330883.436]: CLOCK_REALTIME phc offset        -4 s2 freq   -2487 delay   1245
phc2sys[330884.436]: CLOCK_REALTIME phc offset         5 s2 freq   -2480 delay   1240
phc2sys[330885.437]: CLOCK_REALTIME phc offset       -22 s2 freq   -2505 delay   1271
phc2sys[330886.437]: CLOCK_REALTIME phc offset         4 s2 freq   -2486 delay   1268
phc2sys[330887.437]: CLOCK_REALTIME phc offset        10 s2 freq   -2479 delay   1271
phc2sys[330888.437]: CLOCK_REALTIME phc offset        21 s2 freq   -2465 delay   1251
phc2sys[330889.437]: CLOCK_REALTIME phc offset         4 s2 freq   -2475 delay   1249
phc2sys[330890.438]: CLOCK_REALTIME phc offset       -10 s2 freq   -2488 delay   1242
phc2sys[330891.438]: CLOCK_REALTIME phc offset         0 s2 freq   -2481 delay   1243
phc2sys[330892.438]: CLOCK_REALTIME phc offset        -2 s2 freq   -2483 delay   1253
phc2sys[330893.438]: CLOCK_REALTIME phc offset        -6 s2 freq   -2488 delay   1260
phc2sys[330894.438]: CLOCK_REALTIME phc offset        -5 s2 freq   -2488 delay   1245
phc2sys[330895.438]: CLOCK_REALTIME phc offset       -16 s2 freq   -2501 delay   1275
phc2sys[330896.438]: CLOCK_REALTIME phc offset        12 s2 freq   -2478 delay   1270
phc2sys[330897.438]: CLOCK_REALTIME phc offset        -3 s2 freq   -2489 delay   1275
phc2sys[330898.439]: CLOCK_REALTIME phc offset        -6 s2 freq   -2493 delay   1276
phc2sys[330899.439]: CLOCK_REALTIME phc offset        14 s2 freq   -2475 delay   1250
phc2sys[330900.439]: CLOCK_REALTIME phc offset         9 s2 freq   -2476 delay   1241
phc2sys[330901.439]: CLOCK_REALTIME phc offset        -2 s2 freq   -2484 delay   1245
